,outtime,scores,one,two
0,2019-04-24 02:23:00,50,2019-04-24,02:23:00
1,2019-04-24 00:11:00,40,2019-04-24,00:11:00
2,2019-04-24 00:01:00,50,2019-04-24,00:01:00
3,2019-04-24 03:05:00,50,2019-04-24,03:05:00
4,2019-04-24 00:00:00,50,2019-04-24,00:00:00
5,2019-04-24 04:52:00,50,2019-04-24,04:52:00
6,2019-04-24 02:50:00,50,2019-04-24,02:50:00
7,2019-04-24 03:30:00,50,2019-04-24,03:30:00
8,2019-04-24 02:52:00,50,2019-04-24,02:52:00
9,2019-04-24 02:40:00,50,2019-04-24,02:40:00
10,2019-04-24 00:03:00,40,2019-04-24,00:03:00
11,2019-04-24 03:07:00,40,2019-04-24,03:07:00
12,2019-04-24 03:50:00,40,2019-04-24,03:50:00
13,2019-04-24 02:50:00,50,2019-04-24,02:50:00
14,2019-04-24 00:00:00,50,2019-04-24,00:00:00
15,2019-04-24 00:10:00,50,2019-04-24,00:10:00
16,2019-04-24 02:51:00,50,2019-04-24,02:51:00
17,2019-04-24 21:10:00,40,2019-04-24,21:10:00
18,2019-04-24 02:55:00,50,2019-04-24,02:55:00
19,2019-04-24 02:55:00,50,2019-04-24,02:55:00
20,2019-04-24 02:59:00,40,2019-04-24,02:59:00
21,2019-04-24 01:09:00,50,2019-04-24,01:09:00
22,2019-04-24 02:55:00,50,2019-04-24,02:55:00
23,2019-04-24 03:13:00,40,2019-04-24,03:13:00
24,2019-04-24 03:01:00,50,2019-04-24,03:01:00
25,2019-04-24 23:54:00,50,2019-04-24,23:54:00
26,2019-04-24 03:15:00,50,2019-04-24,03:15:00
27,2019-04-24 03:31:00,40,2019-04-24,03:31:00
28,2019-04-24 19:47:00,50,2019-04-24,19:47:00
29,2019-04-24 03:04:00,40,2019-04-24,03:04:00
30,2019-04-24 00:07:00,50,2019-04-24,00:07:00
31,2019-04-24 04:13:00,50,2019-04-24,04:13:00
32,2019-04-24 05:18:00,50,2019-04-24,05:18:00
33,2019-04-24 17:44:00,40,2019-04-24,17:44:00
34,2019-04-24 15:20:00,50,2019-04-24,15:20:00
35,2019-04-24 00:06:00,50,2019-04-24,00:06:00
36,2019-04-24 03:50:00,50,2019-04-24,03:50:00
37,2019-04-24 03:17:00,40,2019-04-24,03:17:00
38,2019-04-24 01:27:00,50,2019-04-24,01:27:00
39,2019-04-24 03:50:00,50,2019-04-24,03:50:00
40,2019-04-24 02:51:00,40,2019-04-24,02:51:00
41,2019-04-24 22:23:00,40,2019-04-24,22:23:00
42,2019-04-24 02:55:00,50,2019-04-24,02:55:00
43,2019-04-24 02:55:00,50,2019-04-24,02:55:00
44,2019-04-24 01:05:00,50,2019-04-24,01:05:00
45,2019-04-24 00:05:00,50,2019-04-24,00:05:00
46,2019-04-24 03:50:00,50,2019-04-24,03:50:00
47,2019-04-24 23:28:00,40,2019-04-24,23:28:00
48,2019-04-24 03:05:00,50,2019-04-24,03:05:00
49,2019-04-24 03:52:00,40,2019-04-24,03:52:00
50,2019-04-24 02:57:00,50,2019-04-24,02:57:00
51,2019-04-24 00:23:00,50,2019-04-24,00:23:00
52,2019-04-24 03:07:00,40,2019-04-24,03:07:00
53,2019-04-24 03:06:00,50,2019-04-24,03:06:00
54,2019-04-24 05:06:00,50,2019-04-24,05:06:00
55,2019-04-25 06:08:00,50,2019-04-25,06:08:00
56,2019-04-24 02:42:00,50,2019-04-24,02:42:00
57,2019-04-24 11:15:00,40,2019-04-24,11:15:00
58,2019-04-24 03:25:00,50,2019-04-24,03:25:00
59,2019-04-24 02:57:00,40,2019-04-24,02:57:00
60,2019-04-24 03:00:00,50,2019-04-24,03:00:00
61,2019-04-24 03:32:00,40,2019-04-24,03:32:00
62,2019-04-24 02:52:00,50,2019-04-24,02:52:00
63,2019-04-25 21:58:00,40,2019-04-25,21:58:00
64,2019-04-24 00:14:00,50,2019-04-24,00:14:00
65,2019-04-24 02:38:00,50,2019-04-24,02:38:00
66,2019-04-24 03:13:00,50,2019-04-24,03:13:00
67,2019-04-24 15:04:00,50,2019-04-24,15:04:00
68,2019-04-24 02:59:00,50,2019-04-24,02:59:00
69,2019-05-02 22:37:00,50,2019-05-02,22:37:00
