,jointime,outtime,scores,one,two
0,2016-06-08,2019-04-24 02:23:00,50,2019-04-24,02:23:00
1,2017-07-21,2019-04-24 00:11:00,40,2019-04-24,00:11:00
2,2012-08-07,2019-04-24 00:01:00,50,2019-04-24,00:01:00
3,2015-02-27,2019-04-24 03:05:00,50,2019-04-24,03:05:00
4,2018-10-21,2019-04-24 00:00:00,50,2019-04-24,00:00:00
5,2011-03-10,2019-04-24 04:52:00,50,2019-04-24,04:52:00
6,2012-05-17,2019-04-24 02:50:00,50,2019-04-24,02:50:00
7,2015-01-08,2019-04-24 03:30:00,50,2019-04-24,03:30:00
8,2015-03-19,2019-04-24 02:52:00,50,2019-04-24,02:52:00
9,2016-05-09,2019-04-24 02:40:00,50,2019-04-24,02:40:00
10,2010-02-24,2019-04-24 00:03:00,40,2019-04-24,00:03:00
11,2005-10-09,2019-04-24 03:07:00,40,2019-04-24,03:07:00
12,2015-08-10,2019-04-24 03:50:00,40,2019-04-24,03:50:00
13,2017-04-23,2019-04-24 02:50:00,50,2019-04-24,02:50:00
14,2016-12-08,2019-04-24 00:00:00,50,2019-04-24,00:00:00
15,2017-12-06,2019-04-24 00:10:00,50,2019-04-24,00:10:00
16,2011-01-31,2019-04-24 02:51:00,50,2019-04-24,02:51:00
17,2018-02-13,2019-04-24 21:10:00,40,2019-04-24,21:10:00
18,2017-11-16,2019-04-24 02:55:00,50,2019-04-24,02:55:00
19,2014-07-20,2019-04-24 02:55:00,50,2019-04-24,02:55:00
20,2008-03-19,2019-04-24 02:59:00,40,2019-04-24,02:59:00
21,2017-01-18,2019-04-24 01:09:00,50,2019-04-24,01:09:00
22,2018-05-02,2019-04-24 02:55:00,50,2019-04-24,02:55:00
23,2009-03-30,2019-04-24 03:13:00,40,2019-04-24,03:13:00
24,2014-12-19,2019-04-24 03:01:00,50,2019-04-24,03:01:00
25,2011-02-08,2019-04-24 23:54:00,50,2019-04-24,23:54:00
26,2010-08-23,2019-04-24 03:15:00,50,2019-04-24,03:15:00
27,2005-12-31,2019-04-24 03:31:00,40,2019-04-24,03:31:00
28,2005-07-18,2019-04-24 19:47:00,50,2019-04-24,19:47:00
29,2011-12-24,2019-04-24 03:04:00,40,2019-04-24,03:04:00
30,2013-02-12,2019-04-24 00:07:00,50,2019-04-24,00:07:00
31,2016-03-14,2019-04-24 04:13:00,50,2019-04-24,04:13:00
32,2015-04-07,2019-04-24 05:18:00,50,2019-04-24,05:18:00
33,2009-01-25,2019-04-24 17:44:00,40,2019-04-24,17:44:00
34,2009-07-18,2019-04-24 15:20:00,50,2019-04-24,15:20:00
35,2017-11-19,2019-04-24 00:06:00,50,2019-04-24,00:06:00
36,2013-06-18,2019-04-24 03:50:00,50,2019-04-24,03:50:00
37,2010-09-13,2019-04-24 03:17:00,40,2019-04-24,03:17:00
38,2016-07-26,2019-04-24 01:27:00,50,2019-04-24,01:27:00
39,2011-01-23,2019-04-24 03:50:00,50,2019-04-24,03:50:00
40,2010-12-26,2019-04-24 02:51:00,40,2019-04-24,02:51:00
41,2006-03-19,2019-04-24 22:23:00,40,2019-04-24,22:23:00
42,2009-06-19,2019-04-24 02:55:00,50,2019-04-24,02:55:00
43,2013-02-27,2019-04-24 02:55:00,50,2019-04-24,02:55:00
44,2011-04-22,2019-04-24 01:05:00,50,2019-04-24,01:05:00
45,2012-11-09,2019-04-24 00:05:00,50,2019-04-24,00:05:00
46,2013-06-12,2019-04-24 03:50:00,50,2019-04-24,03:50:00
47,2010-09-07,2019-04-24 23:28:00,40,2019-04-24,23:28:00
48,2015-05-03,2019-04-24 03:05:00,50,2019-04-24,03:05:00
49,2013-11-15,2019-04-24 03:52:00,40,2019-04-24,03:52:00
50,2012-03-06,2019-04-24 02:57:00,50,2019-04-24,02:57:00
51,2018-11-22,2019-04-24 00:23:00,50,2019-04-24,00:23:00
52,2007-02-23,2019-04-24 03:07:00,40,2019-04-24,03:07:00
53,2010-03-23,2019-04-24 03:06:00,50,2019-04-24,03:06:00
54,2010-03-17,2019-04-24 05:06:00,50,2019-04-24,05:06:00
55,2008-03-12,2019-04-25 06:08:00,50,2019-04-25,06:08:00
56,2016-12-24,2019-04-24 02:42:00,50,2019-04-24,02:42:00
57,2008-07-25,2019-04-24 11:15:00,40,2019-04-24,11:15:00
58,2010-09-06,2019-04-24 03:25:00,50,2019-04-24,03:25:00
59,2007-08-10,2019-04-24 02:57:00,40,2019-04-24,02:57:00
60,2009-03-06,2019-04-24 03:00:00,50,2019-04-24,03:00:00
61,2011-06-12,2019-04-24 03:32:00,40,2019-04-24,03:32:00
62,2013-10-13,2019-04-24 02:52:00,50,2019-04-24,02:52:00
63,2008-05-26,2019-04-25 21:58:00,40,2019-04-25,21:58:00
64,2017-03-16,2019-04-24 00:14:00,50,2019-04-24,00:14:00
65,2015-08-26,2019-04-24 02:38:00,50,2019-04-24,02:38:00
66,2017-11-09,2019-04-24 03:13:00,50,2019-04-24,03:13:00
67,2008-08-20,2019-04-24 15:04:00,50,2019-04-24,15:04:00
68,2015-08-30,2019-04-24 02:59:00,50,2019-04-24,02:59:00
69,2006-06-02,2019-05-02 22:37:00,50,2019-05-02,22:37:00
70,2015-05-18,2019-04-24 02:56:00,50,2019-04-24,02:56:00
71,2010-09-10,2019-04-24 03:05:00,50,2019-04-24,03:05:00
72,2009-01-28,2019-04-24 22:33:00,50,2019-04-24,22:33:00
73,2015-01-17,2019-04-24 16:08:00,50,2019-04-24,16:08:00
74,2006-08-17,2019-04-24 02:34:00,40,2019-04-24,02:34:00
75,2011-01-29,2019-04-24 03:05:00,50,2019-04-24,03:05:00
76,2011-06-26,2019-04-24 11:57:00,50,2019-04-24,11:57:00
77,2011-04-21,2019-04-24 03:47:00,40,2019-04-24,03:47:00
78,2008-06-16,2019-04-24 03:33:00,50,2019-04-24,03:33:00
79,2006-11-27,2019-04-24 16:23:00,40,2019-04-24,16:23:00
80,2007-10-10,2019-04-24 03:23:00,50,2019-04-24,03:23:00
81,2012-10-21,2019-04-24 12:38:00,50,2019-04-24,12:38:00
82,2010-05-21,2019-04-24 18:12:00,50,2019-04-24,18:12:00
83,2006-03-28,2019-04-25 06:48:00,40,2019-04-25,06:48:00
84,2018-05-02,2019-04-24 12:21:00,50,2019-04-24,12:21:00
85,2018-06-27,2019-04-24 05:45:00,50,2019-04-24,05:45:00
86,2012-07-10,2019-04-24 04:05:00,50,2019-04-24,04:05:00
87,2010-08-29,2019-04-24 00:43:00,50,2019-04-24,00:43:00
88,2006-10-06,2019-04-27 12:18:00,50,2019-04-27,12:18:00
