country,language,budget,gross,imdb_score,title_year,num_voted_users,num_critic_for_reviews,num_user_for_reviews,director_name,duration,genres,movie_title,content_rating
India,English,600000000,1602466,6,2010,9673,76,18,Tom Tykwer,119,Comedy|Drama|Romance,3,Unrated
USA,English,263700000,73058679,6.6,2012,212204,216,200,Brian Helgeland,128,Biography|Drama|Sport,42,PG-13
USA,English,260000000,200807262,7.8,2010,294810,63,27,Li Zhang,121,Action|Adventure|Drama|History|War,1911,R
USA,English,250000000,458991599,7.5,2015,462669,6,3,Tommy Oliver,90,Drama,1982,R
USA,English,250000000,330249062,6.9,2016,371639,35,42,Tara Subkoff,101,Drama|Horror|Mystery|Thriller,#Horror,Not Rated
USA,English,250000000,407197282,8.2,2016,272670,411,440,Dan Trachtenberg,104,Drama|Horror|Mystery|Sci-Fi|Thriller,10 Cloverfield Lane,PG-13
USA,English,250000000,241063875,6.7,2011,370704,1,10,Timothy Hines,111,Drama,10 Days in a Madhouse,R
USA,English,250000000,448130642,8.5,2012,1144337,0,0,Christopher Barnard,22,Comedy,"10,000 B.C.            ",
New Zealand,English,250000000,255108370,7.5,2014,354228,13,56,,42,Adventure|Drama|Mystery|Sci-Fi|Thriller,12 Monkeys            ,TV-14
UK,English,245000000,200074175,6.8,2015,275868,597,695,Steve McQueen,134,Biography|Drama|History,12 Years a Slave,R
USA,English,230000000,262030663,7,2012,451803,450,440,Danny Boyle,94,Adventure|Biography|Drama|Thriller,127 Hours,R
USA,English,225000000,291021565,7.2,2013,548573,204,219,Michael Bay,144,Action|Drama|Thriller|War,13 Hours,R
USA,English,225000000,179020854,6.8,2012,268154,265,172,Baltasar Kormákur,109,Action|Comedy|Crime|Drama|Thriller,2 Guns,R
USA,English,225000000,258355354,7.9,2013,483540,149,80,Morgan Neville,91,Documentary|Music,20 Feet from Stardom,PG-13
USA,English,220000000,623279547,8.1,2012,995415,30,199,Dinesh D'Souza,87,Documentary,2016: Obama's America,PG
USA,English,220000000,623279547,8.1,2012,995415,168,84,Jon Lucas,93,Comedy,21 & Over,R
USA,English,215000000,234903076,6.4,2013,175409,375,345,Phil Lord,109,Action|Comedy|Crime,21 Jump Street,R
USA,English,215000000,234903076,6.4,2013,175413,330,322,Phil Lord,112,Action|Comedy|Crime,22 Jump Street,R
USA,English,215000000,89289910,6.5,2013,181792,20,23,Eric Mendelsohn,88,Drama,3 Backyards,R
USA,English,210000000,245428137,5.7,2014,242420,211,211,McG,123,Action|Drama|Thriller,3 Days to Kill,PG-13
USA,English,209000000,65173160,5.9,2012,202382,220,122,Ruben Fleischer,83,Action|Comedy|Crime,30 Minutes or Less,R
