Year,China,Indonesia,Egypt,Serbia,Colombia
1995,2551,6111,6553,7167,8643
1996,2775,6478,6774,7348,8664
1997,3000,6683,7036,7899,8804
1998,3205,5721,7207,8121,8701
1999,3419,5684,7528,7161,8194
2000,3678,5878,7807,7741,8414
2001,3955,6005,7955,8141,8415
2002,4285,6186,8013,8725,8488
2003,4685,6389,8134,9134,8683
2004,5127,6615,8328,9983,9005
2005,5675,6892,8556,10568,9286
2006,6360,7168,8990,11130,9759
2007,7225,7516,9467,11833,10278
2008,7880,7856,9974,12522,10489
2009,8565,8108,10267,12180,10511
2010,9430,8498,10615,12301,10777
2011,10274,8907,10629,12572,11332
2012,11017,9327,10683,12505,11636
2013,11805,9729,10731,12889,12054
2014,12609,10099,10792,12717,12447
2015,13334,10504,11031,12908,12761
