PM2_5,PM10,SO2,NO2,CO,O3,Speed,Direction,TEMP,RH,PSFC,lat,lon,AQI,Major pollutants,AQI-Difference,id,Group
27.34,22.08,3.04,3.53,3,15.12,6.39,-134,287.82,69.36,100279.03,18.34,109.25,27.34,PM2.5,0,0,2699
27.14,22.02,3.27,3.75,3,15.72,7.49,-139,288.42,68.85,100476.48,18.34,109.38,27.14,PM2.5,0,1,94
27.31,21.99,3.48,3.78,2.9,16.32,8.6,-150,287.73,70.47,100359.41,18.33,109.52,27.31,PM2.5,0,2,94
28.2,22.73,3.44,3.66,3,16.84,7.95,-160,287.21,74.12,100506.32,18.33,109.66,28.2,PM2.5,0,3,94
25.36,19.95,2.69,2.54,2.9,17.16,8.64,-131,288.23,66.97,101559.32,18.49,108.83,25.36,PM2.5,0,4,2699
26.27,20.44,2.89,2.75,2.9,17.4,7.72,-136,287.63,73.21,100642.06,18.49,108.97,26.27,PM2.5,0,5,2699
28.04,21.95,2.97,3.17,2.9,16.22,6.49,-139,286.79,76.34,99360.34,18.48,109.11,28.04,PM2.5,0,6,2699
29.54,23.46,2.99,3.54,3,15.17,6.65,-132,287.25,76.1,98646.82,18.48,109.25,29.54,PM2.5,0,7,2699
29.73,23.6,3.13,3.72,3,15.38,7.14,-131,287.05,76.01,97742.03,18.47,109.39,29.73,PM2.5,0,8,2699
31.3,24.66,3.33,3.88,3,15.63,7.32,-153,286.29,78.88,97632.77,18.46,109.53,31.3,PM2.5,0,9,94
29.54,23.37,3.39,3.76,3,16.35,6.96,-165,287.17,74.95,99997.85,18.46,109.67,29.54,PM2.5,0,10,137
27,21.31,3.34,3.46,3,17.32,7.66,-167,287.86,70.67,101270.25,18.45,109.81,27,PM2.5,0,11,137
27.61,22.21,3.3,3.74,3,16.39,8.95,-170,287.88,71.66,101463.91,18.45,109.95,27.61,PM2.5,0,12,137
27.29,21.52,2.61,2.65,2.9,16.43,7.07,-120,287.28,74.84,98316.1,18.62,108.84,27.29,PM2.5,0,13,2699
29.36,22.94,2.76,2.83,2.9,16.38,6.89,-131,285.94,80.21,98082.75,18.62,108.98,29.36,PM2.5,0,14,2699
29.16,22.69,2.93,3.02,2.9,16.51,6.43,-132,286.43,78.33,99408.29,18.61,109.12,29.16,PM2.5,0,15,2699
31.1,24.32,2.91,3.23,2.9,15.57,7.64,-131,286.06,78.29,98245.59,18.61,109.26,31.1,PM2.5,0,16,2699
33.11,25.5,3.04,3.45,2.9,15.77,6.06,-122,284.57,84.09,95373.92,18.6,109.4,33.11,PM2.5,0,17,2699
34.9,26.97,3.07,3.73,3,15.45,5.79,-151,284.36,84.5,95744.59,18.6,109.54,34.9,PM2.5,0,18,94
31.09,24.29,3.26,3.58,3,16.78,7.52,-163,286.48,76.31,98762.51,18.59,109.67,31.09,PM2.5,0,19,94
30.57,24.13,3.3,3.6,3,16.89,8.84,-163,287.36,74.5,99858.77,18.59,109.81,30.57,PM2.5,0,20,94
30.39,23.89,3.4,3.83,3,16.48,8.79,-171,287.3,75.82,100093.12,18.58,109.95,30.39,PM2.5,0,21,137
31.21,25.2,3.47,4.24,3.1,15.37,9.53,-178,287.12,74.21,100740.16,18.57,110.09,31.21,PM2.5,0,22,137
26.99,21.45,2.63,2.96,2.9,15.14,6.36,-105,287.92,70.32,100077.56,18.76,108.7,26.99,PM2.5,0,23,277
30.24,23.66,2.6,2.9,2.9,15.36,5.95,-91,286.01,80.31,96346.98,18.75,108.84,30.24,PM2.5,0,24,277
31.74,24.66,2.75,2.94,2.9,15.95,5.55,-113,284.84,83.44,96323.46,18.75,108.98,31.74,PM2.5,0,25,277
30.61,23.82,2.95,2.97,2.9,16.8,6.96,-132,285.8,80.5,97980.59,18.75,109.12,30.61,PM2.5,0,26,2699
33.77,26.37,2.97,3.2,2.9,15.93,7.9,-135,285.13,83.41,97970.98,18.74,109.26,33.77,PM2.5,0,27,2699
35.23,27.31,3.07,3.42,3,15.83,6.14,-121,284.29,86.28,96200.43,18.73,109.4,35.23,PM2.5,0,28,2699
36.01,27.64,3.19,3.64,3,16.09,6.02,-132,283.54,88.43,94874.06,18.73,109.54,36.01,PM2.5,0,29,2699
34.79,26.49,3.37,3.52,2.9,17.33,7,-150,283.63,87.41,95053.95,18.72,109.68,34.79,PM2.5,0,30,94
35.37,27.17,3.34,3.74,3,16.5,7.4,-166,283.95,86.02,96056.89,18.72,109.82,35.37,PM2.5,0,31,137
36.83,29.36,3.26,4.17,3.1,14.82,7.44,-179,285.11,82,98007.12,18.71,109.96,36.83,PM2.5,0,32,137
34.43,27.8,3.46,4.33,3.1,15.13,7.91,177,286.42,79.06,99489.59,18.7,110.1,34.43,PM2.5,0,33,137
35.29,28.66,3.92,5.11,3.2,14.97,8.24,174,286.85,75.85,100504.82,18.7,110.24,35.29,PM2.5,0,34,137
34.06,29.05,3.69,4.71,3.2,17.34,9.56,173,288.99,79.72,101490.45,18.69,110.38,34.06,PM2.5,0,35,137
27.13,21.66,2.94,3.25,3,15.6,5.67,-119,287.12,73.79,100755.65,18.89,108.71,27.13,PM2.5,0,36,277
28.54,22.61,2.79,3.02,2.9,15.58,5.25,-89,287.04,75.6,99194.41,18.89,108.85,28.54,PM2.5,0,37,-1
30.24,23.86,2.75,3.01,2.9,15.36,6.84,-92,286.21,77.37,97403.14,18.88,108.99,30.24,PM2.5,0,38,277
33.91,26.46,2.85,3.07,2.9,15.71,7.35,-115,284.06,86.54,94754.53,18.88,109.13,33.91,PM2.5,0,39,277
35.59,27.76,3.05,3.15,2.9,16.43,7.23,-133,283.12,91.8,95316.23,18.87,109.27,35.59,PM2.5,0,40,2699
35.77,27.85,3.17,3.34,2.9,16.35,6.44,-126,283.72,88.98,96204.2,18.87,109.41,35.77,PM2.5,0,41,2699
36.83,28.19,3.31,3.42,2.9,16.83,5.92,-119,282.35,94.26,93934.66,18.86,109.55,36.83,PM2.5,0,42,277
40.14,30.49,3.34,3.46,2.9,16.72,4.26,-137,281.34,99.6,93234.55,18.86,109.69,40.14,PM2.5,0,43,94
39.93,31.44,3.2,4.21,3.1,14.16,4.27,-173,282.68,93.05,95322.33,18.85,109.83,39.93,PM2.5,0,44,137
39.19,31.16,3.23,4.56,3.1,13.7,5.36,175,284.3,85.56,97499.03,18.84,109.97,39.19,PM2.5,0,45,137
38.33,30.78,3.38,4.74,3.2,14.11,6.06,172,285.17,81.79,98580.71,18.84,110.11,38.33,PM2.5,0,46,137
39.91,32.36,4.05,5.96,3.4,13.89,6.46,166,286.07,80.83,99439.52,18.83,110.25,39.91,PM2.5,0,47,1021
38.43,31.27,4.19,6.45,3.5,13.44,7.42,163,286.69,76.05,100990.41,18.82,110.39,38.43,PM2.5,0,48,1021
26.71,21.4,3.35,3.68,3,16.28,6.26,-129,287.14,73.26,101364.47,19.02,108.71,26.71,PM2.5,0,49,-1
27.09,21.47,3.21,3.33,3,16.73,5.15,-110,287.71,73.9,101044.09,19.02,108.85,27.09,PM2.5,0,50,277
